subject,label,atlas_vol_L_mm3,atlas_vol_R_mm3,warped_vol_L_mm3,warped_vol_R_mm3,VPI_left,VPI_right,VPI_tier,LR_ratio,symmetry_tier,cross_subject_CV
IXI016-Guys-0697,VAmc,74.0,76.0,51.68,56.95,0.698,0.749,ORTA,0.907,SIMETRIK,0.1
IXI002-Guys-0828,VApc,565.0,569.0,459.84,484.1,0.814,0.851,IYI,0.95,SIMETRIK,0.049
IXI012-HH-1211,VApc,565.0,569.0,505.2,473.56,0.894,0.832,IYI,1.067,SIMETRIK,0.049
IXI013-HH-1212,VApc,565.0,569.0,449.3,421.87,0.795,0.741,IYI,1.065,SIMETRIK,0.049
IXI015-HH-1258,VApc,565.0,569.0,481.99,513.63,0.853,0.903,IYI,0.938,SIMETRIK,0.049
IXI016-Guys-0697,VApc,565.0,569.0,508.36,492.54,0.9,0.866,IYI,1.032,SIMETRIK,0.049
IXI002-Guys-0828,VLa,319.0,328.0,283.71,299.53,0.889,0.913,IYI,0.947,SIMETRIK,0.046
IXI012-HH-1211,VLa,319.0,328.0,309.02,304.81,0.969,0.929,IYI,1.014,SIMETRIK,0.046
IXI013-HH-1212,VLa,319.0,328.0,295.31,323.79,0.926,0.987,IYI,0.912,SIMETRIK,0.046
IXI015-HH-1258,VLa,319.0,328.0,315.35,330.12,0.989,1.006,IYI,0.955,SIMETRIK,0.046
IXI016-Guys-0697,VLa,319.0,328.0,280.55,277.38,0.879,0.846,IYI,1.011,SIMETRIK,0.046
IXI002-Guys-0828,VLpd,760.0,766.0,736.17,748.83,0.969,0.978,IYI,0.983,SIMETRIK,0.056
IXI012-HH-1211,VLpd,760.0,766.0,649.69,630.7,0.855,0.823,IYI,1.03,SIMETRIK,0.056
IXI013-HH-1212,VLpd,760.0,766.0,656.02,643.36,0.863,0.84,IYI,1.02,SIMETRIK,0.056
IXI015-HH-1258,VLpd,760.0,766.0,625.43,659.18,0.823,0.861,IYI,0.949,SIMETRIK,0.056
IXI016-Guys-0697,VLpd,760.0,766.0,673.94,663.4,0.887,0.866,IYI,1.016,SIMETRIK,0.056
IXI002-Guys-0828,VLpv,743.0,746.0,662.34,693.98,0.891,0.93,IYI,0.954,SIMETRIK,0.066
IXI012-HH-1211,VLpv,743.0,746.0,664.46,668.67,0.894,0.896,IYI,0.994,SIMETRIK,0.066
IXI013-HH-1212,VLpv,743.0,746.0,639.14,668.67,0.86,0.896,IYI,0.956,SIMETRIK,0.066
IXI015-HH-1258,VLpv,743.0,746.0,734.06,711.92,0.988,0.954,IYI,1.031,SIMETRIK,0.066
IXI016-Guys-0697,VLpv,743.0,746.0,600.12,628.59,0.808,0.843,IYI,0.955,SIMETRIK,0.066
IXI002-Guys-0828,VM,156.0,159.0,132.89,142.38,0.852,0.895,IYI,0.933,SIMETRIK,0.091
IXI012-HH-1211,VM,156.0,159.0,152.93,143.44,0.98,0.902,IYI,1.066,SIMETRIK,0.091
IXI013-HH-1212,VM,156.0,159.0,145.55,145.55,0.933,0.915,IYI,1.0,SIMETRIK,0.091
